PokeDatabaseId,PokemonId,PokemonName,PokedexId,ClassificationId,AlternateFormName,OriginalPokemonId,LegendaryType,PokemonHeight,PokemonWeight,PrimaryTypeId,SecondaryTypeId,PrimaryAbilityId,SecondaryAbilityId,HiddenAbilityId,SpecialEventAbilityId,MaleRatio,FemaleRatio,BaseHappiness,GameOfOriginId,PrimaryEggGroupId,SecondaryEggGroupId,EggCycleCount,PreEvolutionPokemonId,HealthStat,AttackStat,DefenseStat,SpecialAttackStat,SpecialDefenseStat,SpeedStat,BaseStatTotal,HealthEV,AttackEV,DefenseEV,SpecialAttackEV,SpecialDefenseEV,SpeedEV,EVYieldTotal,CatchRate,ExperienceGrowth,ExperienceGrowthTotal,EvolutionDetails
17,32,Caterpie,10,724,,,,0.3,2.9,18,,221,,203.0,,50.0,50.0,50,10,2,,15,,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,
18,23,Metapod,11,127,,,,0.7,9.9,18,,218,,,,50.0,50.0,50,10,2,,15,32.0,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Level 7
19,24,Butterfree,12,95,,,,1.1,32.0,18,16.0,34,,272.0,,50.0,50.0,50,10,2,,15,23.0,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,Level 10
20,1521,Butterfree,12,95,Gigantamax,24.0,,17.0,0.0,18,16.0,34,,272.0,,50.0,50.0,50,5,2,,15,,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,
21,31,Weedle,13,287,,,,0.3,3.2,18,7.0,221,,203.0,,50.0,50.0,50,10,2,,15,,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,Medium Fast,1000000,
22,30,Kakuna,14,127,,,,0.6,10.0,18,7.0,218,,,,50.0,50.0,50,10,2,,15,31.0,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Level 7
23,27,Beedrill,15,467,,,,1.0,29.5,18,7.0,255,,227.0,,50.0,50.0,50,10,2,,15,30.0,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,Level 10
24,28,Beedrill,15,467,Mega,27.0,,1.4,40.5,18,7.0,1,,,,50.0,50.0,70,4,2,,15,,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,Medium Fast,1000000,
25,76,Pidgey,16,654,,,,0.3,1.8,5,16.0,118,262.0,22.0,,50.0,50.0,50,10,7,,15,,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,Medium Slow,1059860,
26,77,Pidgeotto,17,60,,,,1.1,30.0,5,16.0,118,262.0,22.0,,50.0,50.0,50,10,7,,15,76.0,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,Medium Slow,1059860,Level 18
27,78,Pidgeot,18,60,,,,1.5,39.5,5,16.0,118,262.0,22.0,,50.0,50.0,50,10,7,,15,77.0,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,Level 36
28,79,Pidgeot,18,60,Mega,78.0,,2.2,50.5,5,16.0,154,,,,50.0,50.0,70,4,7,,15,,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,Medium Slow,1059860,
29,80,Rattata,19,421,,,,0.3,3.5,5,,203,89.0,99.0,,50.0,50.0,50,10,6,,15,,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,
30,81,Rattata,19,421,Alola,80.0,,0.3,3.8,15,5.0,80,99.0,271.0,,50.0,50.0,70,12,6,,15,,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,
31,82,Raticate,20,421,,,,0.7,18.5,5,,203,89.0,99.0,,50.0,50.0,50,10,6,,15,80.0,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,Level 20
32,83,Raticate,20,421,Alola,82.0,,0.7,25.5,15,5.0,80,99.0,271.0,,50.0,50.0,70,12,6,,15,81.0,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,Level 20
33,84,Spearow,21,654,,,,0.3,2.0,5,16.0,118,,227.0,,50.0,50.0,50,10,7,,15,,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,Medium Fast,1000000,
34,85,Fearow,22,43,,,,1.2,38.0,5,16.0,118,,227.0,,50.0,50.0,50,10,7,,15,84.0,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,Medium Fast,1000000,Level 20
35,86,Ekans,23,583,,,,2.0,6.9,7,,113,218.0,285.0,,50.0,50.0,50,10,6,4.0,20,,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,Medium Fast,1000000,
36,87,Arbok,24,125,,,,3.5,65.0,7,,113,218.0,285.0,,50.0,50.0,50,10,6,4.0,20,86.0,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,Level 22
37,89,Pikachu,25,421,,,,0.4,6.0,3,,240,,124.0,,50.0,50.0,50,10,6,5.0,10,88.0,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,
38,1523,Pikachu,25,421,Gigantamax,89.0,,21.0,0.0,3,,240,,124.0,,50.0,50.0,50,5,6,5.0,10,,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,
39,1595,Pikachu,25,421,Starter,89.0,,0.4,6.0,3,,240,,124.0,,50.0,50.0,70,11,6,5.0,10,,45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,Medium Fast,1000000,
40,90,Raichu,26,421,,,,0.8,30.0,3,,240,,124.0,,50.0,50.0,50,10,6,5.0,10,89.0,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Thunder Stone
41,90,Raichu,26,421,,,,0.8,30.0,3,,240,,124.0,,50.0,50.0,50,10,6,5.0,10,89.0,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Thunder Stone in Kanto (LGPE) or Ultra Space (USUM)
42,90,Raichu,26,421,,,,0.8,30.0,3,,240,,124.0,,50.0,50.0,50,10,6,5.0,10,89.0,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Thunder Stone
43,91,Raichu,26,421,Alola,90.0,,0.7,21.0,3,9.0,254,,,,50.0,50.0,50,12,6,5.0,10,89.0,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Thunder Stone in Alola
44,91,Raichu,26,421,Alola,90.0,,0.7,21.0,3,9.0,254,,,,50.0,50.0,50,12,6,5.0,10,89.0,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,
45,92,Sandshrew,27,421,,,,0.6,12.0,6,,208,,205.0,,50.0,50.0,50,10,6,,20,,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,
46,93,Sandshrew,27,421,Alola,92.0,,0.7,40.0,1,11.0,228,,226.0,,50.0,50.0,50,12,6,,20,,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,
47,94,Sandslash,28,421,,,,1.0,29.5,6,,208,,205.0,,50.0,50.0,50,10,6,,20,92.0,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,Level 22
48,95,Sandslash,28,421,Alola,94.0,,1.2,55.0,1,11.0,228,,226.0,,50.0,50.0,50,12,6,,20,93.0,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,Ice Stone
49,33,Nidoran (Female),29,471,,,,0.4,7.0,7,,170,198.0,99.0,,0.0,100.0,50,10,11,6.0,20,,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,Medium Slow,1059860,
50,17,Nidorina,30,471,,,,0.8,20.0,7,,170,198.0,99.0,,0.0,100.0,50,10,12,,20,33.0,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,Medium Slow,1059860,Level 16
51,18,Nidoqueen,31,186,,,,1.3,60.0,7,6.0,170,198.0,219.0,,0.0,100.0,50,10,12,,20,17.0,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,Moon Stone
52,48,Nidoran (Male),32,471,,,,0.5,9.0,7,,170,198.0,99.0,,100.0,0.0,50,10,11,6.0,20,,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,Medium Slow,1059860,
53,49,Nidorino,33,471,,,,0.9,19.5,7,,170,198.0,99.0,,100.0,0.0,50,10,11,6.0,20,48.0,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,Medium Slow,1059860,Level 16
54,50,Nidoking,34,186,,,,1.4,62.0,7,6.0,170,198.0,219.0,,100.0,0.0,50,10,11,6.0,20,49.0,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Moon Stone
55,52,Clefairy,35,214,,,,0.6,7.5,10,,42,131.0,74.0,,25.0,75.0,140,10,5,,20,51.0,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,Fast,800000,
56,53,Clefable,36,214,,,,1.3,40.0,10,,42,131.0,283.0,,25.0,75.0,140,10,5,,10,52.0,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,Moon Stone
57,54,Vulpix,37,247,,,,0.6,9.9,13,,68,,56.0,,25.0,75.0,50,10,6,,20,,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,
58,55,Vulpix,37,247,Alola,54.0,,0.6,9.9,1,,228,,229.0,,25.0,75.0,50,12,6,,20,,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,
59,56,Ninetales,38,247,,,,1.1,19.9,13,,68,,56.0,,25.0,75.0,50,10,6,,20,54.0,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,Medium Fast,1000000,Fire Stone
60,57,Ninetales,38,247,Alola,56.0,,1.1,19.9,1,10.0,228,,229.0,,25.0,75.0,50,12,6,,20,55.0,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,Medium Fast,1000000,Ice Stone
61,59,Jigglypuff,39,35,,,,0.5,5.5,5,10.0,42,33.0,74.0,,25.0,75.0,50,10,5,,10,58.0,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,Fast,800000,
62,60,Wigglytuff,40,35,,,,1.0,12.0,5,10.0,42,33.0,75.0,,25.0,75.0,50,10,5,,10,59.0,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,Moon Stone
63,61,Zubat,41,40,,,,0.8,7.5,7,16.0,111,,109.0,,50.0,50.0,50,10,7,,15,,40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,Medium Fast,1000000,
64,62,Golbat,42,40,,,,1.6,55.0,7,16.0,111,,109.0,,50.0,50.0,50,10,7,,15,61.0,75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,Medium Fast,1000000,Level 22
65,64,Oddish,43,702,,,,0.5,5.4,4,7.0,27,,203.0,,50.0,50.0,50,10,8,,20,,45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,Medium Slow,1059860,
66,65,Gloom,44,702,,,,0.8,8.6,4,7.0,27,,245.0,,50.0,50.0,50,10,8,,20,64.0,60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,Medium Slow,1059860,Level 21
67,66,Vileplume,45,238,,,,1.2,18.6,4,7.0,27,,60.0,,50.0,50.0,50,10,8,,20,65.0,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,Medium Slow,1059860,Leaf Stone
68,68,Paras,46,426,,,,0.3,5.4,18,4.0,60,57.0,43.0,,50.0,50.0,50,10,2,8.0,20,,35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,Medium Fast,1000000,
69,69,Parasect,47,426,,,,1.0,29.5,18,4.0,60,57.0,43.0,,50.0,50.0,50,10,2,8.0,20,68.0,60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,Medium Fast,1000000,Level 24
70,70,Venonat,48,320,,,,1.0,30.0,18,7.0,34,272.0,203.0,,50.0,50.0,50,10,2,,20,,60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,Medium Fast,1000000,
71,71,Venomoth,49,470,,,,1.5,12.5,18,7.0,221,272.0,303.0,,50.0,50.0,50,10,2,,20,70.0,70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,Medium Fast,1000000,Level 31
72,72,Diglett,50,416,,,,0.2,0.8,6,,208,9.0,204.0,,50.0,50.0,50,10,6,,20,,10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,
73,74,Diglett,50,416,Alola,72.0,,0.2,1.0,6,11.0,208,263.0,204.0,,50.0,50.0,50,12,6,,20,,10,55,30,35,45,90,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,
74,75,Dugtrio,51,416,Alola,73.0,,0.7,66.6,6,11.0,208,263.0,204.0,,50.0,50.0,50,12,6,,20,74.0,35,100,60,50,70,110,425,0,2,0,0,0,0,2,50,Medium Fast,1000000,Level 26 In Alola
75,73,Dugtrio,51,416,,,,0.7,33.3,6,,208,9.0,204.0,,50.0,50.0,50,10,6,,20,72.0,35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,Medium Fast,1000000,Level 26
76,96,Meowth,52,537,,,,0.4,4.2,5,,166,264.0,285.0,,50.0,50.0,50,10,6,,20,,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,
77,97,Meowth,52,537,Alola,96.0,,0.4,4.2,15,,166,264.0,192.0,,50.0,50.0,50,12,6,,20,,40,35,35,50,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,
78,98,Meowth,52,537,Galar,96.0,,0.4,7.5,11,,166,274.0,285.0,,50.0,50.0,50,5,6,,20,,50,65,55,40,40,40,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,
79,1524,Meowth,52,537,Gigantamax,96.0,,33.0,0.0,5,,166,264.0,285.0,,50.0,50.0,50,5,6,,20,,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,
80,100,Persian,53,121,,,,1.0,32.0,5,,125,264.0,285.0,,50.0,50.0,50,10,6,,20,96.0,65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,Level 28
81,101,Persian,53,121,Alola,100.0,,1.1,33.0,15,,77,264.0,192.0,,50.0,50.0,50,12,6,,20,97.0,65,60,60,75,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,
82,102,Psyduck,54,189,,,,0.8,19.6,2,,43,29.0,257.0,,50.0,50.0,50,10,13,6.0,20,,50,52,48,65,50,55,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,
83,884,Golduck,55,189,,,,1.7,76.6,2,,43,29.0,257.0,,50.0,50.0,50,10,13,6.0,20,102.0,80,82,78,95,80,85,500,0,0,0,2,0,0,2,75,Medium Fast,1000000,Level 33
84,895,Mankey,56,455,,,,0.5,28.0,14,,289,6.0,49.0,,50.0,50.0,50,10,6,,20,,40,80,35,35,45,70,305,0,1,0,0,0,0,1,190,Medium Fast,1000000,
85,924,Primeape,57,455,,,,1.0,32.0,14,,289,6.0,49.0,,50.0,50.0,50,10,6,,20,895.0,65,105,60,60,70,95,455,0,2,0,0,0,0,2,75,Medium Fast,1000000,Level 28
86,949,Growlithe,58,489,,,,0.7,19.0,13,,113,68.0,117.0,,75.0,25.0,50,10,6,,20,,55,70,45,70,50,60,350,0,1,0,0,0,0,1,190,Slow,1250000,
87,1615,Growlithe,58,536,Hisui,949.0,,0.8,22.7,13,8.0,113,68.0,200.0,,75.0,25.0,50,18,6,,20,,60,75,45,65,50,55,350,0,1,0,0,0,0,1,235,Slow,1250000,
88,960,Arcanine,59,361,,,,1.9,155.0,13,,113,68.0,117.0,,75.0,25.0,50,10,6,,20,949.0,90,110,80,100,80,95,555,0,2,0,0,0,0,2,75,Slow,1250000,Fire Stone
89,1624,Arcanine,59,361,Hisui,960.0,,2.0,168.0,13,8.0,113,68.0,200.0,,75.0,25.0,50,18,6,,20,1615.0,95,115,80,95,80,90,555,0,2,0,0,0,0,2,135,Slow,1250000,Fire Stone
90,971,Poliwag,60,637,,,,0.6,12.4,2,,292,43.0,257.0,,50.0,50.0,50,10,13,,20,,40,50,40,40,40,90,300,0,0,0,0,0,1,1,255,Medium Slow,1059860,
91,982,Poliwhirl,61,637,,,,1.0,20.0,2,,292,43.0,257.0,,50.0,50.0,50,10,13,,20,971.0,65,65,65,50,50,90,385,0,0,0,0,0,2,2,120,Medium Slow,1059860,Level 25
92,993,Poliwrath,62,637,,,,1.3,54.0,2,14.0,292,43.0,257.0,,50.0,50.0,50,10,13,,20,982.0,90,95,95,70,90,70,510,0,0,3,0,0,0,3,45,Medium Slow,1059860,Water Stone
93,1004,Abra,63,484,,,,0.9,19.5,9,,260,111.0,131.0,,75.0,25.0,50,10,9,,20,,25,20,15,105,55,90,310,0,0,0,1,0,0,1,200,Medium Slow,1059860,
94,1015,Kadabra,64,484,,,,1.3,56.5,9,,260,111.0,131.0,,75.0,25.0,50,10,9,,20,1004.0,40,35,30,120,70,105,400,0,0,0,2,0,0,2,100,Medium Slow,1059860,Level 16
95,1026,Alakazam,65,484,,,,1.5,48.0,9,,260,111.0,131.0,,75.0,25.0,50,10,9,,20,1015.0,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,Medium Slow,1059860,
96,1026,Alakazam,65,484,,,,1.5,48.0,9,,260,111.0,131.0,,75.0,25.0,50,10,9,,20,1015.0,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,Medium Slow,1059860,Trade Or Use Linking Cord In Legends: Arceus
97,1360,Alakazam,65,484,Mega,1026.0,,1.2,48.0,9,,278,,,,75.0,25.0,70,9,9,,20,,55,50,65,175,105,150,600,0,0,0,3,0,0,3,50,Medium Slow,1059860,
98,1076,Machop,66,627,,,,0.8,19.5,14,,89,154.0,241.0,,75.0,25.0,50,10,9,,20,,70,80,50,35,35,35,305,0,1,0,0,0,0,1,180,Medium Slow,1059860,
99,1087,Machoke,67,627,,,,1.5,70.5,14,,89,154.0,241.0,,75.0,25.0,50,10,9,,20,1076.0,80,100,70,50,60,45,405,0,2,0,0,0,0,2,90,Medium Slow,1059860,Level 28
100,1097,Machamp,68,627,,,,1.6,130.0,14,,89,154.0,241.0,,75.0,25.0,50,10,9,,20,1087.0,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,
101,1097,Machamp,68,627,,,,1.6,130.0,14,,89,154.0,241.0,,75.0,25.0,50,10,9,,20,1087.0,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Trade Or Use Linking Cord In Legends: Arceus
102,1550,Machamp,68,627,Gigantamax,1097.0,,25.0,0.0,14,,89,154.0,241.0,,75.0,25.0,50,5,9,,20,,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,
103,1109,Bellsprout,69,238,,,,0.7,4.0,4,7.0,27,,80.0,,50.0,50.0,50,10,8,,20,,50,75,35,70,30,40,300,0,1,0,0,0,0,1,255,Medium Slow,1059860,
104,1128,Weepinbell,70,241,,,,1.0,6.4,4,7.0,27,,80.0,,50.0,50.0,50,10,8,,20,1109.0,65,90,50,85,45,55,390,0,2,0,0,0,0,2,120,Medium Slow,1059860,Level 21
105,1139,Victreebel,71,241,,,,1.7,15.5,4,7.0,27,,80.0,,50.0,50.0,50,10,8,,20,1128.0,80,105,65,100,70,70,490,0,3,0,0,0,0,3,45,Medium Slow,1059860,Leaf Stone
106,1150,Tentacool,72,333,,,,0.9,45.5,2,7.0,28,127.0,191.0,,50.0,50.0,50,10,15,,20,,40,40,35,50,100,70,335,0,0,0,0,1,0,1,190,Slow,1250000,
107,1254,Tentacruel,73,333,,,,1.6,55.0,2,7.0,28,127.0,191.0,,50.0,50.0,50,10,15,,20,1150.0,80,70,65,80,120,100,515,0,0,0,0,2,0,2,60,Slow,1250000,Level 30
108,1265,Geodude,74,509,,,,0.4,20.0,8,6.0,200,249.0,208.0,,50.0,50.0,50,10,10,,15,,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,Medium Slow,1059860,
109,1361,Geodude,74,509,Alola,1265.0,,0.4,20.3,8,3.0,134,249.0,79.0,,50.0,50.0,70,12,10,,15,,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,Medium Slow,1059860,
110,1362,Graveler,75,509,Alola,1276.0,,1.0,110.0,8,3.0,134,249.0,79.0,,50.0,50.0,70,12,10,,15,1361.0,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,Medium Slow,1059860,Level 25
111,1276,Graveler,75,509,,,,1.0,105.0,8,6.0,200,249.0,208.0,,50.0,50.0,50,10,10,,15,1265.0,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,Medium Slow,1059860,Level 25
112,1287,Golem,76,402,,,,1.4,300.0,8,6.0,200,249.0,208.0,,50.0,50.0,50,10,10,,15,1276.0,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,
113,1287,Golem,76,402,,,,1.4,300.0,8,6.0,200,249.0,208.0,,50.0,50.0,50,10,10,,15,1276.0,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,Trade Or Use Linking Cord In Legends: Arceus
114,1363,Golem,76,402,Alola,1287.0,,1.7,316.0,8,3.0,134,249.0,79.0,,50.0,50.0,70,12,10,,15,1362.0,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,Medium Slow,1059860,
115,1364,Ponyta,77,684,Galar,1297.0,,0.8,24.0,9,,203,163.0,8.0,,50.0,50.0,50,5,6,,20,,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,Medium Fast,1000000,
116,1297,Ponyta,77,223,,,,1.0,30.0,13,,203,68.0,66.0,,50.0,50.0,50,10,6,,20,,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,Medium Fast,1000000,
117,1308,Rapidash,78,223,,,,1.7,95.0,13,,203,68.0,66.0,,50.0,50.0,50,10,6,,20,1297.0,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,Medium Fast,1000000,Level 40
118,1365,Rapidash,78,684,Galar,1308.0,,1.7,80.0,9,10.0,203,163.0,8.0,,50.0,50.0,50,5,6,,20,1364.0,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,Medium Fast,1000000,Level 40
119,1366,Slowpoke,79,180,Galar,1319.0,,1.2,36.0,9,,80,161.0,196.0,,50.0,50.0,50,5,11,13.0,20,,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,Medium Fast,1000000,
120,1319,Slowpoke,79,180,,,,1.2,36.0,2,9.0,156,161.0,196.0,,50.0,50.0,50,10,11,13.0,20,,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,Medium Fast,1000000,
121,1367,Slowbro,80,298,Mega,1330.0,,2.0,120.0,2,9.0,220,,,,50.0,50.0,70,4,11,13.0,20,,95,75,180,130,80,30,590,0,0,2,0,0,0,2,75,Medium Fast,1000000,
122,1368,Slowbro,80,298,Galar,1330.0,,1.6,70.5,7,9.0,189,161.0,196.0,,50.0,50.0,50,5,11,13.0,20,1366.0,95,100,95,100,70,30,490,0,2,0,0,0,0,2,75,Medium Fast,1000000,Galarica Cuff
123,1330,Slowbro,80,298,,,,1.6,78.5,2,9.0,156,161.0,196.0,,50.0,50.0,50,10,11,13.0,20,1319.0,95,75,110,100,80,30,490,0,0,2,0,0,0,2,75,Medium Fast,1000000,Level 37
124,46,Magnemite,81,390,,,,0.3,6.0,3,11.0,134,249.0,5.0,,0.0,0.0,50,10,10,,20,,25,35,70,95,55,45,325,0,0,0,1,0,0,1,190,Medium Fast,1000000,
